latitude,longitude,heat_capacity_J_per_K
-87.0,-177.0,2.2985011375445e+16
-87.0,-171.0,2.3100363323069996e+16
-87.0,-165.0,2.3160346335835e+16
-87.0,-159.0,2.290657205106e+16
-87.0,-153.0,2.2671254077905004e+16
-87.0,-147.0,2.266664e+16
-87.0,-141.0,2.266664e+16
-87.0,-135.0,2.266664e+16
-87.0,-129.0,2.266664e+16
-87.0,-123.0,2.266664e+16
-87.0,-117.0,2.266664e+16
-87.0,-111.0,2.266664e+16
-87.0,-105.0,2.266664e+16
-87.0,-99.0,2.266664e+16
-87.0,-93.0,2.266664e+16
-87.0,-87.0,2.266664e+16
-87.0,-81.0,2.266664e+16
-87.0,-75.0,2.266664e+16
-87.0,-69.0,2.266664e+16
-87.0,-63.0,2.266664e+16
-87.0,-57.0,2.266664e+16
-87.0,-51.0,2.266664e+16
-87.0,-45.0,2.266664e+16
-87.0,-39.0,2.266664e+16
-87.0,-33.0,2.266664e+16
-87.0,-27.0,2.266664e+16
-87.0,-21.0,2.266664e+16
-87.0,-15.0,2.266664e+16
-87.0,-9.0,2.266664e+16
-87.0,-3.0,2.266664e+16
-87.0,3.0,2.266664e+16
-87.0,9.0,2.266664e+16
-87.0,15.0,2.266664e+16
-87.0,21.0,2.266664e+16
-87.0,27.0,2.266664e+16
-87.0,33.0,2.266664e+16
-87.0,39.0,2.266664e+16
-87.0,45.0,2.266664e+16
-87.0,51.0,2.266664e+16
-87.0,57.0,2.266664e+16
-87.0,63.0,2.266664e+16
-87.0,69.0,2.266664e+16
-87.0,75.0,2.266664e+16
-87.0,81.0,2.266664e+16
-87.0,87.0,2.266664e+16
-87.0,93.0,2.266664e+16
-87.0,99.0,2.266664e+16
-87.0,105.0,2.266664e+16
-87.0,111.0,2.266664e+16
-87.0,117.0,2.266664e+16
-87.0,123.0,2.266664e+16
-87.0,129.0,2.266664e+16
-87.0,135.0,2.266664e+16
-87.0,141.0,2.266664e+16
-87.0,147.0,2.266664e+16
-87.0,153.0,2.266664e+16
-87.0,159.0,2.266664e+16
-87.0,165.0,2.266664e+16
-87.0,171.0,2.266664e+16
-87.0,177.0,2.273123709067e+16
-81.0,-177.0,2.7276103827095004e+16
-81.0,-171.0,2.7082312555085004e+16
-81.0,-165.0,2.6528623206485004e+16
-81.0,-159.0,2.6417885336765e+16
-81.0,-153.0,2.455841194105e+16
-81.0,-147.0,2.2874273505725e+16
-81.0,-141.0,2.266664e+16
-81.0,-135.0,2.266664e+16
-81.0,-129.0,2.266664e+16
-81.0,-123.0,2.266664e+16
-81.0,-117.0,2.266664e+16
-81.0,-111.0,2.266664e+16
-81.0,-105.0,2.266664e+16
-81.0,-99.0,2.266664e+16
-81.0,-93.0,2.266664e+16
-81.0,-87.0,2.266664e+16
-81.0,-81.0,2.3104977400975e+16
-81.0,-75.0,2.44199896039e+16
-81.0,-69.0,2.453995562943e+16
-81.0,-63.0,2.5707317339395e+16
-81.0,-57.0,2.6334831934475e+16
-81.0,-51.0,2.4618394953815e+16
-81.0,-45.0,2.4461516305045e+16
-81.0,-39.0,2.500136341993e+16
-81.0,-33.0,2.3658666749575e+16
-81.0,-27.0,2.29434846743e+16
-81.0,-21.0,2.2689710389525e+16
-81.0,-15.0,2.266664e+16
-81.0,-9.0,2.266664e+16
-81.0,-3.0,2.266664e+16
-81.0,3.0,2.266664e+16
-81.0,9.0,2.266664e+16
-81.0,15.0,2.266664e+16
-81.0,21.0,2.266664e+16
-81.0,27.0,2.266664e+16
-81.0,33.0,2.266664e+16
-81.0,39.0,2.266664e+16
-81.0,45.0,2.266664e+16
-81.0,51.0,2.266664e+16
-81.0,57.0,2.266664e+16
-81.0,63.0,2.266664e+16
-81.0,69.0,2.266664e+16
-81.0,75.0,2.266664e+16
-81.0,81.0,2.266664e+16
-81.0,87.0,2.266664e+16
-81.0,93.0,2.266664e+16
-81.0,99.0,2.266664e+16
-81.0,105.0,2.266664e+16
-81.0,111.0,2.266664e+16
-81.0,117.0,2.266664e+16
-81.0,123.0,2.266664e+16
-81.0,129.0,2.266664e+16
-81.0,135.0,2.266664e+16
-81.0,141.0,2.266664e+16
-81.0,147.0,2.266664e+16
-81.0,153.0,2.266664e+16
-81.0,159.0,2.3238785660219996e+16
-81.0,165.0,2.576268627425499e+16
-81.0,171.0,2.69115916726e+16
-81.0,177.0,2.7257647515475e+16
-75.0,-177.0,5.92732636e+16
-75.0,-171.0,5.92732636e+16
-75.0,-165.0,5.92732636e+16
-75.0,-159.0,5.73331125492e+16
-75.0,-153.0,5.510010850959999e+16
-75.0,-147.0,5.125641303159999e+16
-75.0,-141.0,4.35690220756e+16
-75.0,-135.0,3.99815729628e+16
-75.0,-129.0,3.87369477604e+16
-75.0,-123.0,3.70896496984e+16
-75.0,-117.0,3.70164364512e+16
-75.0,-111.0,4.02012127044e+16
-75.0,-105.0,4.12628047888e+16
-75.0,-99.0,3.0317424332399996e+16
