latitude,longitude,capacité thermique
-87.0,-177.0,2.028091625e+16
-87.0,-171.0,2.03826975e+16
-87.0,-165.0,2.043562375e+16
-87.0,-159.0,2.0211705e+16
-87.0,-153.0,2.0004071250000004e+16
-87.0,-147.0,2e+16
-87.0,-141.0,2e+16
-87.0,-135.0,2e+16
-87.0,-129.0,2e+16
-87.0,-123.0,2e+16
-87.0,-117.0,2e+16
-87.0,-111.0,2e+16
-87.0,-105.0,2e+16
-87.0,-99.0,2e+16
-87.0,-93.0,2e+16
-87.0,-87.0,2e+16
-87.0,-81.0,2e+16
-87.0,-75.0,2e+16
-87.0,-69.0,2e+16
-87.0,-63.0,2e+16
-87.0,-57.0,2e+16
-87.0,-51.0,2e+16
-87.0,-45.0,2e+16
-87.0,-39.0,2e+16
-87.0,-33.0,2e+16
-87.0,-27.0,2e+16
-87.0,-21.0,2e+16
-87.0,-15.0,2e+16
-87.0,-9.0,2e+16
-87.0,-3.0,2e+16
-87.0,3.0,2e+16
-87.0,9.0,2e+16
-87.0,15.0,2e+16
-87.0,21.0,2e+16
-87.0,27.0,2e+16
-87.0,33.0,2e+16
-87.0,39.0,2e+16
-87.0,45.0,2e+16
-87.0,51.0,2e+16
-87.0,57.0,2e+16
-87.0,63.0,2e+16
-87.0,69.0,2e+16
-87.0,75.0,2e+16
-87.0,81.0,2e+16
-87.0,87.0,2e+16
-87.0,93.0,2e+16
-87.0,99.0,2e+16
-87.0,105.0,2e+16
-87.0,111.0,2e+16
-87.0,117.0,2e+16
-87.0,123.0,2e+16
-87.0,129.0,2e+16
-87.0,135.0,2e+16
-87.0,141.0,2e+16
-87.0,147.0,2e+16
-87.0,153.0,2e+16
-87.0,159.0,2e+16
-87.0,165.0,2e+16
-87.0,171.0,2e+16
-87.0,177.0,2.00569975e+16
-81.0,-177.0,2.4067178750000004e+16
-81.0,-171.0,2.389618625e+16
-81.0,-165.0,2.340763625e+16
-81.0,-159.0,2.330992625e+16
-81.0,-153.0,2.16692125e+16
-81.0,-147.0,2.018320625e+16
-81.0,-141.0,2e+16
-81.0,-135.0,2e+16
-81.0,-129.0,2e+16
-81.0,-123.0,2e+16
-81.0,-117.0,2e+16
-81.0,-111.0,2e+16
-81.0,-105.0,2e+16
-81.0,-99.0,2e+16
-81.0,-93.0,2e+16
-81.0,-87.0,2e+16
-81.0,-81.0,2.038676875e+16
-81.0,-75.0,2.1547075e+16
-81.0,-69.0,2.16529275e+16
-81.0,-63.0,2.268295375e+16
-81.0,-57.0,2.323664375e+16
-81.0,-51.0,2.172213875e+16
-81.0,-45.0,2.158371625e+16
-81.0,-39.0,2.20600525e+16
-81.0,-33.0,2.087531875e+16
-81.0,-27.0,2.0244275e+16
-81.0,-21.0,2.002035625e+16
-81.0,-15.0,2e+16
-81.0,-9.0,2e+16
-81.0,-3.0,2e+16
-81.0,3.0,2e+16
-81.0,9.0,2e+16
-81.0,15.0,2e+16
-81.0,21.0,2e+16
-81.0,27.0,2e+16
-81.0,33.0,2e+16
-81.0,39.0,2e+16
-81.0,45.0,2e+16
-81.0,51.0,2e+16
-81.0,57.0,2e+16
-81.0,63.0,2e+16
-81.0,69.0,2e+16
-81.0,75.0,2e+16
-81.0,81.0,2e+16
-81.0,87.0,2e+16
-81.0,93.0,2e+16
-81.0,99.0,2e+16
-81.0,105.0,2e+16
-81.0,111.0,2e+16
-81.0,117.0,2e+16
-81.0,123.0,2e+16
-81.0,129.0,2e+16
-81.0,135.0,2e+16
-81.0,141.0,2e+16
-81.0,147.0,2e+16
-81.0,153.0,2e+16
-81.0,159.0,2.0504835e+16
-81.0,165.0,2.2731808749999996e+16
-81.0,171.0,2.374555e+16
-81.0,177.0,2.405089375e+16
-75.0,-177.0,5.23e+16
-75.0,-171.0,5.23e+16
-75.0,-165.0,5.23e+16
-75.0,-159.0,5.05881e+16
-75.0,-153.0,4.861779999999999e+16
-75.0,-147.0,4.522629999999999e+16
