latitude;longitude;heat_capacity_J_per_K
-87.0;-177.0;4.9591343190508e+19
-87.0;-171.0;5.1134119708808e+19
-87.0;-165.0;5.1936363498324e+19
-87.0;-159.0;4.8542255158064e+19
-87.0;-153.0;4.5394991060732e+19
-87.0;-147.0;4.533328e+19
-87.0;-141.0;4.533328e+19
-87.0;-135.0;4.533328e+19
-87.0;-129.0;4.533328e+19
-87.0;-123.0;4.533328e+19
-87.0;-117.0;4.533328e+19
-87.0;-111.0;4.533328e+19
-87.0;-105.0;4.533328e+19
-87.0;-99.0;4.533328e+19
-87.0;-93.0;4.533328e+19
-87.0;-87.0;4.533328e+19
-87.0;-81.0;4.533328e+19
-87.0;-75.0;4.533328e+19
-87.0;-69.0;4.533328e+19
-87.0;-63.0;4.533328e+19
-87.0;-57.0;4.533328e+19
-87.0;-51.0;4.533328e+19
-87.0;-45.0;4.533328e+19
-87.0;-39.0;4.533328e+19
-87.0;-33.0;4.533328e+19
-87.0;-27.0;4.533328e+19
-87.0;-21.0;4.533328e+19
-87.0;-15.0;4.533328e+19
-87.0;-9.0;4.533328e+19
-87.0;-3.0;4.533328e+19
-87.0;3.0;4.533328e+19
-87.0;9.0;4.533328e+19
-87.0;15.0;4.533328e+19
-87.0;21.0;4.533328e+19
-87.0;27.0;4.533328e+19
-87.0;33.0;4.533328e+19
-87.0;39.0;4.533328e+19
-87.0;45.0;4.533328e+19
-87.0;51.0;4.533328e+19
-87.0;57.0;4.533328e+19
-87.0;63.0;4.533328e+19
-87.0;69.0;4.533328e+19
-87.0;75.0;4.533328e+19
-87.0;81.0;4.533328e+19
-87.0;87.0;4.533328e+19
-87.0;93.0;4.533328e+19
-87.0;99.0;4.533328e+19
-87.0;105.0;4.533328e+19
-87.0;111.0;4.533328e+19
-87.0;117.0;4.533328e+19
-87.0;123.0;4.533328e+19
-87.0;129.0;4.533328e+19
-87.0;135.0;4.533328e+19
-87.0;141.0;4.533328e+19
-87.0;147.0;4.533328e+19
-87.0;153.0;4.533328e+19
-87.0;159.0;4.533328e+19
-87.0;165.0;4.533328e+19
-87.0;171.0;4.533328e+19
-87.0;177.0;4.6197234850248e+19
-81.0;-177.0;1.06982629671268e+20
-81.0;-171.0;1.04390765120524e+20
-81.0;-165.0;9.6985437832684e+19
-81.0;-159.0;9.5504372375116e+19
-81.0;-153.0;7.063481490012e+19
-81.0;-147.0;4.811027773294e+19
-81.0;-141.0;4.533328e+19
-81.0;-135.0;4.533328e+19
-81.0;-129.0;4.533328e+19
-81.0;-123.0;4.533328e+19
-81.0;-117.0;4.533328e+19
-81.0;-111.0;4.533328e+19
-81.0;-105.0;4.533328e+19
-81.0;-99.0;4.533328e+19
-81.0;-93.0;4.533328e+19
-81.0;-87.0;4.533328e+19
-81.0;-81.0;5.119583076954e+19
-81.0;-75.0;6.878348307816e+19
-81.0;-69.0;7.0387970657192e+19
-81.0;-63.0;8.6000869022388e+19
-81.0;-57.0;9.439357328194e+19
-81.0;-51.0;7.1437058689636e+19
-81.0;-45.0;6.9338882624748e+19
-81.0;-39.0;7.6559076730392e+19
-81.0;-33.0;5.860115805738e+19
-81.0;-27.0;4.903594364392e+19
-81.0;-21.0;4.564183530366e+19
-81.0;-15.0;4.533328e+19
-81.0;-9.0;4.533328e+19
-81.0;-3.0;4.533328e+19
-81.0;3.0;4.533328e+19
-81.0;9.0;4.533328e+19
-81.0;15.0;4.533328e+19
-81.0;21.0;4.533328e+19
-81.0;27.0;4.533328e+19
-81.0;33.0;4.533328e+19
-81.0;39.0;4.533328e+19
-81.0;45.0;4.533328e+19
-81.0;51.0;4.533328e+19
-81.0;57.0;4.533328e+19
-81.0;63.0;4.533328e+19
-81.0;69.0;4.533328e+19
-81.0;75.0;4.533328e+19
-81.0;81.0;4.533328e+19
-81.0;87.0;4.533328e+19
-81.0;93.0;4.533328e+19
-81.0;99.0;4.533328e+19
-81.0;105.0;4.533328e+19
-81.0;111.0;4.533328e+19
-81.0;117.0;4.533328e+19
-81.0;123.0;4.533328e+19
-81.0;129.0;4.533328e+19
-81.0;135.0;4.533328e+19
-81.0;141.0;4.533328e+19
-81.0;147.0;4.533328e+19
-81.0;153.0;4.533328e+19
-81.0;159.0;5.2985451530768e+19
-81.0;165.0;8.674140175117199e+19
-81.0;171.0;1.0210745587344e+20
-81.0;177.0;1.0673578542834e+20
-75.0;-177.0;1.185465272e+21
-75.0;-171.0;1.185465272e+21
-75.0;-165.0;1.185465272e+21
-75.0;-159.0;1.125038276424e+21
-75.0;-153.0;1.0554902249119998e+21
-75.0;-147.0;9.357763657519999e+20
-75.0;-141.0;6.96348647432e+20
-75.0;-135.0;5.84615712216e+20
-75.0;-129.0;5.4585122448799996e+20
-75.0;-123.0;4.9454528484800004e+20
-75.0;-117.0;4.922650208640001e+20
-75.0;-111.0;5.91456504168e+20
-75.0;-105.0;6.245203319360001e+20
-75.0;-99.0;2.8362086632799994e+20
-75.0;-93.0;2.59678094496e+20
-75.0;-87.0;2.7678007437599998e+20
-75.0;-81.0;3.4518799389599996e+20
-75.0;-75.0;4.51220269152e+20
-75.0;-69.0;4.7858343696e+20
-75.0;-63.0;6.71265743608e+20
-75.0;-57.0;1.184325140008e+21
-75.0;-51.0;1.183185008016e+21
-75.0;-45.0;1.1695034241119998e+21
-75.0;-39.0;1.185465272e+21
-75.0;-33.0;1.0532099609280001e+21
-75.0;-27.0;8.331644864719998e+20
-75.0;-21.0;7.10030231336e+20
-75.0;-15.0;3.1896495808e+20
-75.0;-9.0;5.673459992e+19
-75.0;-3.0;4.533328e+19
-75.0;3.0;4.533328e+19
-75.0;9.0;4.533328e+19
-75.0;15.0;4.533328e+19
-75.0;21.0;4.533328e+19
-75.0;27.0;4.533328e+19
-75.0;33.0;4.533328e+19
-75.0;39.0;4.533328e+19
-75.0;45.0;4.533328e+19
-75.0;51.0;4.533328e+19
-75.0;57.0;4.533328e+19
-75.0;63.0;4.533328e+19
-75.0;69.0;1.1374119952e+20
-75.0;75.0;4.533328e+19
-75.0;81.0;4.533328e+19
-75.0;87.0;4.533328e+19
-75.0;93.0;4.533328e+19
-75.0;99.0;4.533328e+19
-75.0;105.0;4.533328e+19
-75.0;111.0;4.533328e+19
-75.0;117.0;4.533328e+19
-75.0;123.0;4.533328e+19
-75.0;129.0;4.533328e+19
-75.0;135.0;4.533328e+19
-75.0;141.0;4.533328e+19
-75.0;147.0;4.533328e+19
-75.0;153.0;4.533328e+19
-75.0;159.0;4.9893807968e+19
-75.0;165.0;6.80386799544e+20
-75.0;171.0;1.11135669252e+21
-75.0;177.0;1.185465272e+21
-69.0;-177.0;1.185465272e+21
-69.0;-171.0;1.185465272e+21
-69.0;-165.0;1.185465272e+21
-69.0;-159.0;1.185465272e+21
-69.0;-153.0;1.185465272e+21
-69.0;-147.0;1.185465272e+21
-69.0;-141.0;1.185465272e+21
-69.0;-135.0;1.185465272e+21
-69.0;-129.0;1.185465272e+21
-69.0;-123.0;1.185465272e+21
-69.0;-117.0;1.185465272e+21
-69.0;-111.0;1.185465272e+21
-69.0;-105.0;1.185465272e+21
-69.0;-99.0;1.16836329212e+21
-69.0;-93.0;1.184325140008e+21
-69.0;-87.0;1.185465272e+21
-69.0;-81.0;1.185465272e+21
-69.0;-75.0;1.0839935247119999e+21
-69.0;-69.0;6.917881194640001e+20
-69.0;-63.0;6.41622311816e+20
-69.0;-57.0;1.185465272e+21
-69.0;-51.0;1.185465272e+21
-69.0;-45.0;1.185465272e+21
-69.0;-39.0;1.185465272e+21
-69.0;-33.0;1.185465272e+21
-69.0;-27.0;1.185465272e+21
-69.0;-21.0;1.185465272e+21
-69.0;-15.0;1.1820448760239998e+21
-69.0;-9.0;1.0463691689759999e+21
-69.0;-3.0;1.0532099609280001e+21
-69.0;3.0;9.71120457504e+20
-69.0;9.0;9.004322739999999e+20
-69.0;15.0;8.639480502559999e+20
-69.0;21.0;9.289355738e+20
-69.0;27.0;9.448974216880001e+20
-69.0;33.0;7.33973003168e+20
-69.0;39.0;6.883677234880001e+20
-69.0;45.0;3.95353801544e+20
-69.0;51.0;1.55926083224e+20
-69.0;57.0;1.87849779e+20
-69.0;63.0;3.4518799389599996e+20
-69.0;69.0;7.6931709492e+20
-69.0;75.0;7.613361709760001e+20
-69.0;81.0;4.11315649432e+20
-69.0;87.0;2.26614266728e+20
-69.0;93.0;1.6504713916e+20
-69.0;99.0;1.31983311392e+20
-69.0;105.0;8.8658295696e+19
-69.0;111.0;1.17161595496e+20
-69.0;117.0;2.4371624660799996e+20
-69.0;123.0;2.02671494896e+20
-69.0;129.0;1.69607667128e+20
-69.0;135.0;9.8919483624e+19
-69.0;141.0;1.9355043896e+20
-69.0;147.0;4.3867881724000004e+20
-69.0;153.0;5.583926764e+20
-69.0;159.0;7.43094059104e+20
-69.0;165.0;9.277954418080002e+20
-69.0;171.0;1.13415933236e+21
-69.0;177.0;1.185465272e+21
-63.0;-177.0;1.185465272e+21
-63.0;-171.0;1.185465272e+21
-63.0;-165.0;1.185465272e+21
-63.0;-159.0;1.185465272e+21
-63.0;-153.0;1.185465272e+21
-63.0;-147.0;1.185465272e+21
-63.0;-141.0;1.185465272e+21
-63.0;-135.0;1.185465272e+21
-63.0;-129.0;1.185465272e+21
-63.0;-123.0;1.185465272e+21
-63.0;-117.0;1.185465272e+21
-63.0;-111.0;1.185465272e+21
-63.0;-105.0;1.185465272e+21
-63.0;-99.0;1.185465272e+21
-63.0;-93.0;1.185465272e+21
-63.0;-87.0;1.185465272e+21
-63.0;-81.0;1.185465272e+21
-63.0;-75.0;1.185465272e+21
-63.0;-69.0;1.185465272e+21
-63.0;-63.0;1.074872468776e+21
-63.0;-57.0;1.1387198603280001e+21
-63.0;-51.0;1.185465272e+21
-63.0;-45.0;1.185465272e+21
-63.0;-39.0;1.185465272e+21
-63.0;-33.0;1.185465272e+21
-63.0;-27.0;1.185465272e+21
-63.0;-21.0;1.185465272e+21
-63.0;-15.0;1.185465272e+21
-63.0;-9.0;1.185465272e+21
-63.0;-3.0;1.185465272e+21
-63.0;3.0;1.185465272e+21
-63.0;9.0;1.185465272e+21
-63.0;15.0;1.185465272e+21
-63.0;21.0;1.185465272e+21
-63.0;27.0;1.185465272e+21
-63.0;33.0;1.185465272e+21
-63.0;39.0;1.185465272e+21
-63.0;45.0;1.185465272e+21
-63.0;51.0;1.1820448760239998e+21
-63.0;57.0;1.1820448760239998e+21
-63.0;63.0;1.185465272e+21
-63.0;69.0;1.185465272e+21
-63.0;75.0;1.185465272e+21
-63.0;81.0;1.185465272e+21
-63.0;87.0;1.185465272e+21
-63.0;93.0;1.185465272e+21
-63.0;99.0;1.176344216064e+21
-63.0;105.0;1.17976461204e+21
-63.0;111.0;1.176344216064e+21
-63.0;117.0;1.185465272e+21
-63.0;123.0;1.185465272e+21
-63.0;129.0;1.185465272e+21
-63.0;135.0;1.185465272e+21
-63.0;141.0;1.185465272e+21
-63.0;147.0;1.185465272e+21
-63.0;153.0;1.185465272e+21
-63.0;159.0;1.185465272e+21
-63.0;165.0;1.185465272e+21
