latitude;longitude;heat_capacity_J_per_K
-87.0;-177.0;2.2949156717627e+18
-87.0;-171.0;2.3051517847202e+18
-87.0;-165.0;2.3104745634581e+18
-87.0;-159.0;2.2879551149516e+18
-87.0;-153.0;2.2670734445183e+18
-87.0;-147.0;2.266664e+18
-87.0;-141.0;2.266664e+18
-87.0;-135.0;2.266664e+18
-87.0;-129.0;2.266664e+18
-87.0;-123.0;2.266664e+18
-87.0;-117.0;2.266664e+18
-87.0;-111.0;2.266664e+18
-87.0;-105.0;2.266664e+18
-87.0;-99.0;2.266664e+18
-87.0;-93.0;2.266664e+18
-87.0;-87.0;2.266664e+18
-87.0;-81.0;2.266664e+18
-87.0;-75.0;2.266664e+18
-87.0;-69.0;2.266664e+18
-87.0;-63.0;2.266664e+18
-87.0;-57.0;2.266664e+18
-87.0;-51.0;2.266664e+18
-87.0;-45.0;2.266664e+18
-87.0;-39.0;2.266664e+18
-87.0;-33.0;2.266664e+18
-87.0;-27.0;2.266664e+18
-87.0;-21.0;2.266664e+18
-87.0;-15.0;2.266664e+18
-87.0;-9.0;2.266664e+18
-87.0;-3.0;2.266664e+18
-87.0;3.0;2.266664e+18
-87.0;9.0;2.266664e+18
-87.0;15.0;2.266664e+18
-87.0;21.0;2.266664e+18
-87.0;27.0;2.266664e+18
-87.0;33.0;2.266664e+18
-87.0;39.0;2.266664e+18
-87.0;45.0;2.266664e+18
-87.0;51.0;2.266664e+18
-87.0;57.0;2.266664e+18
-87.0;63.0;2.266664e+18
-87.0;69.0;2.266664e+18
-87.0;75.0;2.266664e+18
-87.0;81.0;2.266664e+18
-87.0;87.0;2.266664e+18
-87.0;93.0;2.266664e+18
-87.0;99.0;2.266664e+18
-87.0;105.0;2.266664e+18
-87.0;111.0;2.266664e+18
-87.0;117.0;2.266664e+18
-87.0;123.0;2.266664e+18
-87.0;129.0;2.266664e+18
-87.0;135.0;2.266664e+18
-87.0;141.0;2.266664e+18
-87.0;147.0;2.266664e+18
-87.0;153.0;2.266664e+18
-87.0;159.0;2.266664e+18
-87.0;165.0;2.266664e+18
-87.0;171.0;2.266664e+18
-87.0;177.0;2.2723962232562e+18
-81.0;-177.0;2.6756990737817e+18
-81.0;-171.0;2.6585024040131e+18
-81.0;-165.0;2.6093690618171003e+18
-81.0;-159.0;2.5995423933779e+18
-81.0;-153.0;2.434536252503e+18
-81.0;-147.0;2.2850890033235e+18
-81.0;-141.0;2.266664e+18
-81.0;-135.0;2.266664e+18
-81.0;-129.0;2.266664e+18
-81.0;-123.0;2.266664e+18
-81.0;-117.0;2.266664e+18
-81.0;-111.0;2.266664e+18
-81.0;-105.0;2.266664e+18
-81.0;-99.0;2.266664e+18
-81.0;-93.0;2.266664e+18
-81.0;-87.0;2.266664e+18
-81.0;-81.0;2.3055612292385e+18
-81.0;-75.0;2.422252916954e+18
-81.0;-69.0;2.4328984744298e+18
-81.0;-63.0;2.5364879375597005e+18
-81.0;-57.0;2.5921723920484997e+18
-81.0;-51.0;2.4398590312409e+18
-81.0;-45.0;2.4259379176187003e+18
-81.0;-39.0;2.4738429262598e+18
-81.0;-33.0;2.3546945714345e+18
-81.0;-27.0;2.291230671098e+18
-81.0;-21.0;2.2687112225915e+18
-81.0;-15.0;2.266664e+18
-81.0;-9.0;2.266664e+18
-81.0;-3.0;2.266664e+18
-81.0;3.0;2.266664e+18
-81.0;9.0;2.266664e+18
-81.0;15.0;2.266664e+18
-81.0;21.0;2.266664e+18
-81.0;27.0;2.266664e+18
-81.0;33.0;2.266664e+18
-81.0;39.0;2.266664e+18
-81.0;45.0;2.266664e+18
-81.0;51.0;2.266664e+18
-81.0;57.0;2.266664e+18
-81.0;63.0;2.266664e+18
-81.0;69.0;2.266664e+18
-81.0;75.0;2.266664e+18
-81.0;81.0;2.266664e+18
-81.0;87.0;2.266664e+18
-81.0;93.0;2.266664e+18
-81.0;99.0;2.266664e+18
-81.0;105.0;2.266664e+18
-81.0;111.0;2.266664e+18
-81.0;117.0;2.266664e+18
-81.0;123.0;2.266664e+18
-81.0;129.0;2.266664e+18
-81.0;135.0;2.266664e+18
-81.0;141.0;2.266664e+18
-81.0;147.0;2.266664e+18
-81.0;153.0;2.266664e+18
-81.0;159.0;2.3174351202692e+18
-81.0;165.0;2.5414012717793e+18
-81.0;171.0;2.643352956836e+18
-81.0;177.0;2.6740612957085e+18
-75.0;-177.0;5.92732636e+18
-75.0;-171.0;5.92732636e+18
-75.0;-165.0;5.92732636e+18
-75.0;-159.0;5.73331125492e+18
-75.0;-153.0;5.51001085096e+18
-75.0;-147.0;5.12564130316e+18
-75.0;-141.0;4.35690220756e+18
-75.0;-135.0;3.99815729628e+18
-75.0;-129.0;3.87369477604e+18
-75.0;-123.0;3.70896496984e+18
-75.0;-117.0;3.70164364512e+18
-75.0;-111.0;4.02012127044e+18
-75.0;-105.0;4.12628047888e+18
-75.0;-99.0;3.03174243324e+18
-75.0;-93.0;2.95486852368e+18
-75.0;-87.0;3.00977845908e+18
-75.0;-81.0;3.22941820068e+18
-75.0;-75.0;3.56985980016e+18
-75.0;-69.0;3.6577156968e+18
-75.0;-63.0;4.27636763564e+18
-75.0;-57.0;5.92366569764e+18
-75.0;-51.0;5.92000503528e+18
-75.0;-45.0;5.87607708696e+18
-75.0;-39.0;5.92732636e+18
-75.0;-33.0;5.50268952624e+18
-75.0;-27.0;4.79618169076e+18
-75.0;-21.0;4.40083015588e+18
-75.0;-15.0;3.1452229664e+18
-75.0;-9.0;2.3032706236e+18
-75.0;-3.0;2.266664e+18
-75.0;3.0;2.266664e+18
-75.0;9.0;2.266664e+18
-75.0;15.0;2.266664e+18
-75.0;21.0;2.266664e+18
-75.0;27.0;2.266664e+18
-75.0;33.0;2.266664e+18
-75.0;39.0;2.266664e+18
-75.0;45.0;2.266664e+18
-75.0;51.0;2.266664e+18
-75.0;57.0;2.266664e+18
-75.0;63.0;2.266664e+18
-75.0;69.0;2.4863037416e+18
-75.0;75.0;2.266664e+18
-75.0;81.0;2.266664e+18
-75.0;87.0;2.266664e+18
-75.0;93.0;2.266664e+18
-75.0;99.0;2.266664e+18
-75.0;105.0;2.266664e+18
-75.0;111.0;2.266664e+18
-75.0;117.0;2.266664e+18
-75.0;123.0;2.266664e+18
-75.0;129.0;2.266664e+18
-75.0;135.0;2.266664e+18
-75.0;141.0;2.266664e+18
-75.0;147.0;2.266664e+18
-75.0;153.0;2.266664e+18
-75.0;159.0;2.28130664944e+18
-75.0;165.0;4.30565293452e+18
-75.0;171.0;5.6893833066e+18
-75.0;177.0;5.92732636e+18
-69.0;-177.0;5.92732636e+18
-69.0;-171.0;5.92732636e+18
-69.0;-165.0;5.92732636e+18
-69.0;-159.0;5.92732636e+18
-69.0;-153.0;5.92732636e+18
-69.0;-147.0;5.92732636e+18
-69.0;-141.0;5.92732636e+18
-69.0;-135.0;5.92732636e+18
-69.0;-129.0;5.92732636e+18
-69.0;-123.0;5.92732636e+18
-69.0;-117.0;5.92732636e+18
-69.0;-111.0;5.92732636e+18
-69.0;-105.0;5.92732636e+18
-69.0;-99.0;5.8724164246e+18
-69.0;-93.0;5.92366569764e+18
-69.0;-87.0;5.92732636e+18
-69.0;-81.0;5.92732636e+18
-69.0;-75.0;5.60152740996e+18
-69.0;-69.0;4.34225955812e+18
-69.0;-63.0;4.18119041428e+18
-69.0;-57.0;5.92732636e+18
-69.0;-51.0;5.92732636e+18
-69.0;-45.0;5.92732636e+18
-69.0;-39.0;5.92732636e+18
-69.0;-33.0;5.92732636e+18
-69.0;-27.0;5.92732636e+18
-69.0;-21.0;5.92732636e+18
-69.0;-15.0;5.91634437292e+18
-69.0;-9.0;5.48072555208e+18
-69.0;-3.0;5.50268952624e+18
-69.0;3.0;5.23912183632e+18
-69.0;9.0;5.01216077e+18
-69.0;15.0;4.89501957448e+18
-69.0;21.0;5.103677329e+18
-69.0;27.0;5.15492660204e+18
-69.0;33.0;4.47770406544e+18
-69.0;39.0;4.33127757104e+18
-69.0;45.0;3.39048734452e+18
-69.0;51.0;2.62174824892e+18
-69.0;57.0;2.724246795e+18
-69.0;63.0;3.22941820068e+18
-69.0;69.0;4.5911845986e+18
-69.0;75.0;4.56555996208e+18
-69.0;81.0;3.4417366175600005e+18
-69.0;87.0;2.84870931524e+18
-69.0;93.0;2.6510335478e+18
-69.0;99.0;2.54487433936e+18
-69.0;105.0;2.40576916968e+18
-69.0;111.0;2.49728572868e+18
-69.0;117.0;2.90361925064e+18
-69.0;123.0;2.77183540568e+18
-69.0;129.0;2.66567619724e+18
-69.0;135.0;2.43871513092e+18
-69.0;141.0;2.7425501068e+18
-69.0;147.0;3.5295925142e+18
-69.0;153.0;3.913962062e+18
-69.0;159.0;4.50698936432e+18
-69.0;165.0;5.100016666640001e+18
-69.0;171.0;5.7625965538e+18
-69.0;177.0;5.92732636e+18
-63.0;-177.0;5.92732636e+18
-63.0;-171.0;5.92732636e+18
-63.0;-165.0;5.92732636e+18
