latitude,longitude,water_frac,soil_frac,ice_frac
87.0,-177.0,0.0,0.0,100.0
87.0,-171.0,0.0,0.0,100.0
87.0,-165.0,0.0,0.0,100.0
87.0,-159.0,0.0,0.0,100.0
87.0,-153.0,0.0,0.0,100.0
87.0,-147.0,0.0,0.0,100.0
87.0,-141.0,0.0,0.0,100.0
87.0,-135.0,0.0,0.0,100.0
87.0,-129.0,0.0,0.0,100.0
87.0,-123.0,0.0,0.0,100.0
87.0,-117.0,0.0,0.0,100.0
87.0,-111.0,0.0,0.0,100.0
87.0,-105.0,0.0,0.0,100.0
87.0,-99.0,0.0,0.0,100.0
87.0,-93.0,0.0,0.0,100.0
87.0,-87.0,0.0,0.0,100.0
87.0,-81.0,0.0,0.0,100.0
87.0,-75.0,0.0,0.0,100.0
87.0,-69.0,0.0,0.0,100.0
87.0,-63.0,0.0,0.0,100.0
87.0,-57.0,0.0,0.0,100.0
87.0,-51.0,0.0,0.0,100.0
87.0,-45.0,0.0,0.0,100.0
87.0,-39.0,0.0,0.0,100.0
87.0,-33.0,0.0,0.0,100.0
87.0,-27.0,0.0,0.0,100.0
87.0,-21.0,0.0,0.0,100.0
87.0,-15.0,0.0,0.0,100.0
87.0,-9.0,0.0,0.0,100.0
87.0,-3.0,0.0,0.0,100.0
87.0,3.0,0.0,0.0,100.0
87.0,9.0,0.0,0.0,100.0
87.0,15.0,0.0,0.0,100.0
87.0,21.0,0.0,0.0,100.0
87.0,27.0,0.0,0.0,100.0
87.0,33.0,0.0,0.0,100.0
87.0,39.0,0.0,0.0,100.0
87.0,45.0,0.0,0.0,100.0
87.0,51.0,0.0,0.0,100.0
87.0,57.0,0.0,0.0,100.0
87.0,63.0,0.0,0.0,100.0
87.0,69.0,0.0,0.0,100.0
87.0,75.0,0.0,0.0,100.0
87.0,81.0,0.0,0.0,100.0
87.0,87.0,0.0,0.0,100.0
87.0,93.0,0.0,0.0,100.0
87.0,99.0,0.0,0.0,100.0
87.0,105.0,0.0,0.0,100.0
87.0,111.0,0.0,0.0,100.0
87.0,117.0,0.0,0.0,100.0
87.0,123.0,0.0,0.0,100.0
87.0,129.0,0.0,0.0,100.0
87.0,135.0,0.0,0.0,100.0
87.0,141.0,0.0,0.0,100.0
87.0,147.0,0.0,0.0,100.0
87.0,153.0,0.0,0.0,100.0
87.0,159.0,0.0,0.0,100.0
87.0,165.0,0.0,0.0,100.0
87.0,171.0,0.0,0.0,100.0
87.0,177.0,0.0,0.0,100.0
81.0,-177.0,0.0,0.0,100.0
81.0,-171.0,0.0,0.0,100.0
81.0,-165.0,0.0,0.0,100.0
81.0,-159.0,0.0,0.0,100.0
81.0,-153.0,0.0,0.0,100.0
81.0,-147.0,0.0,0.0,100.0
81.0,-141.0,0.0,0.0,100.0
81.0,-135.0,0.0,0.0,100.0
81.0,-129.0,0.0,0.0,100.0
81.0,-123.0,0.0,0.0,100.0
81.0,-117.0,0.0,0.0,100.0
81.0,-111.0,0.0,3.7,96.3
81.0,-105.0,0.0,6.9,93.1
81.0,-99.0,0.0,10.9,89.1
81.0,-93.0,0.0,37.6,62.4
81.0,-87.0,0.0,52.2,47.8
81.0,-81.0,0.0,71.0,29.0
81.0,-75.0,0.0,70.4,29.6
81.0,-69.0,0.0,56.6,43.4
81.0,-63.0,0.0,63.0,37.0
81.0,-57.0,0.0,68.4,31.6
81.0,-51.0,0.0,70.4,29.6
81.0,-45.0,0.0,79.8,20.2
81.0,-39.0,0.0,88.3,11.7
81.0,-33.0,0.0,89.6,10.4
81.0,-27.0,0.0,80.6,19.4
81.0,-21.0,0.0,48.6,51.4
81.0,-15.0,0.0,15.0,85.0
81.0,-9.0,0.0,0.0,100.0
81.0,-3.0,0.0,0.0,100.0
81.0,3.0,0.0,0.0,100.0
81.0,9.0,0.0,2.7,97.3
81.0,15.0,0.0,24.0,76.0
81.0,21.0,0.0,22.3,77.7
81.0,27.0,0.0,6.5,93.5
81.0,33.0,0.0,0.4,99.6
81.0,39.0,0.0,0.0,100.0
81.0,45.0,0.0,1.8,98.2
81.0,51.0,0.0,5.2,94.8
81.0,57.0,0.0,9.7,90.3
81.0,63.0,0.0,6.0,94.0
81.0,69.0,0.0,0.0,100.0
81.0,75.0,0.0,0.3,99.7
81.0,81.0,0.0,0.4,99.6
81.0,87.0,0.0,0.0,100.0
81.0,93.0,0.0,17.0,83.0
81.0,99.0,0.0,20.9,79.1
81.0,105.0,0.0,8.3,91.7
81.0,111.0,0.0,0.0,100.0
81.0,117.0,0.0,0.0,100.0
81.0,123.0,0.0,0.0,100.0
81.0,129.0,0.0,0.0,100.0
81.0,135.0,0.0,0.0,100.0
81.0,141.0,0.0,0.0,100.0
81.0,147.0,0.0,0.0,100.0
81.0,153.0,0.0,0.0,100.0
81.0,159.0,0.0,0.0,100.0
81.0,165.0,0.0,0.0,100.0
81.0,171.0,0.0,0.0,100.0
81.0,177.0,0.0,0.0,100.0
75.0,-177.0,100.0,0.0,0.0
75.0,-171.0,100.0,0.0,0.0
75.0,-165.0,100.0,0.0,0.0
75.0,-159.0,100.0,0.0,0.0
75.0,-153.0,100.0,0.0,0.0
75.0,-147.0,100.0,0.0,0.0
75.0,-141.0,100.0,0.0,0.0
75.0,-135.0,100.0,0.0,0.0
75.0,-129.0,100.0,0.0,0.0
75.0,-123.0,63.6,36.4,0.0
75.0,-117.0,49.4,50.6,0.0
75.0,-111.0,61.6,38.4,0.0
75.0,-105.0,74.6,25.4,0.0
75.0,-99.0,60.4,39.6,0.0
75.0,-93.0,53.0,47.0,0.0
75.0,-87.0,44.1,55.9,0.0
75.0,-81.0,39.2,60.8,0.0
75.0,-75.0,91.1,8.9,0.0
75.0,-69.0,80.7,19.3,0.0
75.0,-63.0,69.4,30.6,0.0
75.0,-57.0,37.6,62.4,0.0
75.0,-51.0,0.1,99.9,0.0
75.0,-45.0,0.0,100.0,0.0
75.0,-39.0,0.0,100.0,0.0
75.0,-33.0,0.0,100.0,0.0
75.0,-27.0,3.4,96.6,0.0
75.0,-21.0,45.1,54.9,0.0
75.0,-15.0,99.6,0.4,0.0
75.0,-9.0,100.0,0.0,0.0
75.0,-3.0,100.0,0.0,0.0
75.0,3.0,100.0,0.0,0.0
75.0,9.0,100.0,0.0,0.0
75.0,15.0,89.9,10.1,0.0
75.0,21.0,95.3,4.7,0.0
75.0,27.0,99.8,0.2,0.0
75.0,33.0,100.0,0.0,0.0
75.0,39.0,100.0,0.0,0.0
75.0,45.0,100.0,0.0,0.0
75.0,51.0,95.6,4.4,0.0
75.0,57.0,72.1,27.9,0.0
75.0,63.0,86.6,13.4,0.0
75.0,69.0,84.6,15.4,0.0
75.0,75.0,95.7,4.3,0.0
75.0,81.0,82.9,17.1,0.0
75.0,87.0,56.5,43.5,0.0
75.0,93.0,35.1,64.9,0.0
75.0,99.0,30.4,69.6,0.0
75.0,105.0,16.8,83.2,0.0
75.0,111.0,38.1,61.9,0.0
75.0,117.0,75.3,24.7,0.0
75.0,123.0,79.6,20.4,0.0
75.0,129.0,88.5,11.5,0.0
75.0,135.0,97.3,2.7,0.0
75.0,141.0,70.4,29.6,0.0
75.0,147.0,88.3,11.7,0.0
75.0,153.0,99.3,0.7,0.0
75.0,159.0,100.0,0.0,0.0
75.0,165.0,100.0,0.0,0.0
75.0,171.0,100.0,0.0,0.0
75.0,177.0,100.0,0.0,0.0
69.0,-177.0,63.6,36.4,0.0
69.0,-171.0,91.2,8.8,0.0
69.0,-165.0,76.6,23.4,0.0
69.0,-159.0,23.2,76.8,0.0
69.0,-153.0,21.9,78.1,0.0
69.0,-147.0,30.0,70.0,0.0
69.0,-141.0,38.7,61.3,0.0
69.0,-135.0,46.2,53.8,0.0
69.0,-129.0,35.7,64.3,0.0
69.0,-123.0,39.3,60.7,0.0
69.0,-117.0,31.9,68.1,0.0
69.0,-111.0,19.3,80.7,0.0
69.0,-105.0,26.1,73.9,0.0
69.0,-99.0,51.9,48.1,0.0
69.0,-93.0,31.8,68.2,0.0
69.0,-87.0,34.6,65.4,0.0
69.0,-81.0,46.3,53.7,0.0
69.0,-75.0,38.2,61.8,0.0
69.0,-69.0,35.5,64.5,0.0
69.0,-63.0,83.6,16.4,0.0
69.0,-57.0,95.3,4.7,0.0
69.0,-51.0,21.6,78.4,0.0
69.0,-45.0,0.0,100.0,0.0
69.0,-39.0,0.4,99.6,0.0
69.0,-33.0,22.8,77.2,0.0
69.0,-27.0,52.4,47.6,0.0
69.0,-21.0,88.4,11.6,0.0
69.0,-15.0,98.0,2.0,0.0
69.0,-9.0,99.7,0.3,0.0
69.0,-3.0,100.0,0.0,0.0
69.0,3.0,100.0,0.0,0.0
69.0,9.0,100.0,0.0,0.0
69.0,15.0,70.9,29.1,0.0
69.0,21.0,33.1,66.9,0.0
69.0,27.0,23.5,76.5,0.0
69.0,33.0,47.1,52.9,0.0
69.0,39.0,69.2,30.8,0.0
69.0,45.0,80.7,19.3,0.0
69.0,51.0,54.9,45.1,0.0
69.0,57.0,46.9,53.1,0.0
69.0,63.0,42.0,58.0,0.0
69.0,69.0,19.5,80.5,0.0
69.0,75.0,29.1,70.9,0.0
69.0,81.0,5.5,94.5,0.0
69.0,87.0,3.1,96.9,0.0
69.0,93.0,1.9,98.1,0.0
69.0,99.0,0.2,99.8,0.0
69.0,105.0,0.1,99.9,0.0
69.0,111.0,0.0,100.0,0.0
69.0,117.0,0.0,100.0,0.0
69.0,123.0,1.6,98.4,0.0
69.0,129.0,8.6,91.4,0.0
69.0,135.0,8.2,91.8,0.0
69.0,141.0,3.1,96.9,0.0
69.0,147.0,2.9,97.1,0.0
69.0,153.0,17.5,82.5,0.0
69.0,159.0,27.1,72.9,0.0
69.0,165.0,40.0,60.0,0.0
69.0,171.0,39.9,60.1,0.0
69.0,177.0,38.5,61.5,0.0
63.0,-177.0,88.3,11.7,0.0
63.0,-171.0,87.6,12.4,0.0
63.0,-165.0,51.7,48.3,0.0
63.0,-159.0,4.7,95.3,0.0
63.0,-153.0,3.8,96.2,0.0
63.0,-147.0,7.1,92.9,0.0
63.0,-141.0,0.6,99.4,0.0
63.0,-135.0,0.6,99.4,0.0
63.0,-129.0,0.4,99.6,0.0
63.0,-123.0,7.1,92.9,0.0
63.0,-117.0,13.4,86.6,0.0
63.0,-111.0,12.0,88.0,0.0
63.0,-105.0,6.1,93.9,0.0
63.0,-99.0,10.2,89.8,0.0
63.0,-93.0,34.0,66.0,0.0
63.0,-87.0,71.6,28.4,0.0
63.0,-81.0,86.3,13.7,0.0
63.0,-75.0,42.7,57.3,0.0
63.0,-69.0,42.8,57.2,0.0
63.0,-63.0,86.5,13.5,0.0
63.0,-57.0,100.0,0.0,0.0
63.0,-51.0,60.8,39.2,0.0
63.0,-45.0,12.0,88.0,0.0
63.0,-39.0,84.3,15.7,0.0
63.0,-33.0,100.0,0.0,0.0
63.0,-27.0,99.8,0.2,0.0
63.0,-21.0,71.2,28.8,0.0
63.0,-15.0,78.9,21.1,0.0
63.0,-9.0,99.3,0.7,0.0
63.0,-3.0,99.4,0.6,0.0
63.0,3.0,94.9,5.1,0.0
63.0,9.0,42.0,58.0,0.0
63.0,15.0,7.6,92.4,0.0
63.0,21.0,47.8,52.2,0.0
63.0,27.0,20.5,79.5,0.0
63.0,33.0,22.0,78.0,0.0
63.0,39.0,19.3,80.7,0.0
63.0,45.0,0.3,99.7,0.0
63.0,51.0,0.2,99.8,0.0
63.0,57.0,0.2,99.8,0.0
63.0,63.0,1.1,98.9,0.0
63.0,69.0,1.3,98.7,0.0
63.0,75.0,0.7,99.3,0.0
63.0,81.0,0.3,99.7,0.0
63.0,87.0,1.0,99.0,0.0
63.0,93.0,0.2,99.8,0.0
63.0,99.0,0.0,100.0,0.0
63.0,105.0,0.0,100.0,0.0
63.0,111.0,0.0,100.0,0.0
63.0,117.0,0.4,99.6,0.0
63.0,123.0,1.4,98.6,0.0
63.0,129.0,1.5,98.5,0.0
63.0,135.0,0.7,99.3,0.0
63.0,141.0,0.0,100.0,0.0
63.0,147.0,0.0,100.0,0.0
63.0,153.0,1.9,98.1,0.0
63.0,159.0,23.7,76.3,0.0
63.0,165.0,9.8,90.2,0.0
63.0,171.0,12.6,87.4,0.0
63.0,177.0,47.0,53.0,0.0
57.0,-177.0,100.0,0.0,0.0
57.0,-171.0,99.9,0.1,0.0
57.0,-165.0,95.4,4.6,0.0
57.0,-159.0,64.3,35.7,0.0
57.0,-153.0,79.4,20.6,0.0
57.0,-147.0,99.3,0.7,0.0
57.0,-141.0,95.3,4.7,0.0
57.0,-135.0,54.0,46.0,0.0
57.0,-129.0,5.7,94.3,0.0
57.0,-123.0,1.2,98.8,0.0
57.0,-117.0,0.9,99.1,0.0
57.0,-111.0,6.5,93.5,0.0
57.0,-105.0,9.0,91.0,0.0
57.0,-99.0,7.5,92.5,0.0
57.0,-93.0,30.5,69.5,0.0
57.0,-87.0,66.4,33.6,0.0
57.0,-81.0,88.9,11.1,0.0
57.0,-75.0,13.8,86.2,0.0
57.0,-69.0,16.4,83.6,0.0
57.0,-63.0,32.6,67.4,0.0
57.0,-57.0,94.0,6.0,0.0
57.0,-51.0,100.0,0.0,0.0
57.0,-45.0,99.6,0.4,0.0
57.0,-39.0,100.0,0.0,0.0
57.0,-33.0,100.0,0.0,0.0
57.0,-27.0,100.0,0.0,0.0
57.0,-21.0,100.0,0.0,0.0
57.0,-15.0,100.0,0.0,0.0
57.0,-9.0,88.5,11.5,0.0
57.0,-3.0,61.1,38.9,0.0
57.0,3.0,98.2,1.8,0.0
57.0,9.0,55.5,44.5,0.0
57.0,15.0,42.6,57.4,0.0
57.0,21.0,61.5,38.5,0.0
57.0,27.0,10.4,89.6,0.0
57.0,33.0,1.0,99.0,0.0
57.0,39.0,2.4,97.6,0.0
57.0,45.0,0.9,99.1,0.0
57.0,51.0,1.8,98.2,0.0
57.0,57.0,1.4,98.6,0.0
57.0,63.0,0.5,99.5,0.0
57.0,69.0,1.1,98.9,0.0
57.0,75.0,0.9,99.1,0.0
57.0,81.0,1.4,98.6,0.0
57.0,87.0,0.2,99.8,0.0
57.0,93.0,0.6,99.4,0.0
57.0,99.0,0.6,99.4,0.0
57.0,105.0,0.9,99.1,0.0
57.0,111.0,4.1,95.9,0.0
57.0,117.0,0.1,99.9,0.0
57.0,123.0,0.0,100.0,0.0
57.0,129.0,0.0,100.0,0.0
