Latitude,Longitude,Power_W_m2
-87.0,-177.0,316.28853590430367
-87.0,-171.0,309.0820087636089
-87.0,-165.0,301.9941334085034
-87.0,-159.0,295.1025660846108
-87.0,-153.0,288.48281224568507
-87.0,-147.0,282.20739930005794
-87.0,-141.0,276.34508198517625
-87.0,-135.0,270.9600890763106
-87.0,-129.0,266.11141968265287
-87.0,-123.0,261.8521968407291
-87.0,-117.0,258.22908548729527
-87.0,-111.0,255.28178118852418
-87.0,-105.0,253.04257522707638
-87.0,-99.0,251.53600081204948
-87.0,-93.0,250.77856428800538
-87.0,-87.0,250.77856428800538
-87.0,-81.0,251.53600081204948
-87.0,-75.0,253.04257522707638
-87.0,-69.0,255.28178118852418
-87.0,-63.0,258.22908548729527
-87.0,-57.0,261.8521968407291
-87.0,-51.0,266.11141968265287
-87.0,-45.0,270.9600890763106
-87.0,-39.0,276.34508198517625
-87.0,-33.0,282.2073993000579
-87.0,-27.0,288.48281224568507
-87.0,-21.0,295.1025660846108
-87.0,-15.0,301.99413340850333
-87.0,-9.0,309.0820087636089
-87.0,-3.0,316.2885359043037
-87.0,3.0,323.5347586111715
-87.0,9.0,330.7412857518663
-87.0,15.0,337.82916110697187
-87.0,21.0,344.7207284308644
-87.0,27.0,351.34048226979013
-87.0,33.0,357.6158952154173
-87.0,39.0,363.47821253029895
-87.0,45.0,368.8632054391646
-87.0,51.0,373.71187483282233
-87.0,57.0,377.9710976747461
-87.0,63.0,381.59420902817993
-87.0,69.0,384.541513326951
-87.0,75.0,386.7807192883988
-87.0,81.0,388.2872937034257
-87.0,87.0,389.0447302274698
-87.0,93.0,389.0447302274698
-87.0,99.0,388.2872937034257
-87.0,105.0,386.7807192883988
-87.0,111.0,384.541513326951
-87.0,117.0,381.59420902817993
-87.0,123.0,377.9710976747461
-87.0,129.0,373.71187483282233
-87.0,135.0,368.8632054391646
-87.0,141.0,363.47821253029895
-87.0,147.0,357.6158952154173
-87.0,153.0,351.34048226979013
-87.0,159.0,344.7207284308644
-87.0,165.0,337.82916110697187
-87.0,171.0,330.7412857518663
-87.0,177.0,323.5347586111715
-81.0,-177.0,305.57698981043706
-81.0,-171.0,284.036364607769
-81.0,-165.0,262.85039478807624
-81.0,-159.0,242.25119827015232
-81.0,-153.0,222.464464161707
-81.0,-147.0,203.70698006227252
-81.0,-141.0,186.18425689289802
-81.0,-135.0,170.08827727549303
-81.0,-129.0,155.595392131046
-81.0,-123.0,142.86438854203058
-81.0,-117.0,132.03475004790192
-81.0,-111.0,123.22512843424921
-81.0,-105.0,116.53204375900347
-81.0,-99.0,112.02882685848469
-81.0,-93.0,109.76481591941372
-81.0,-87.0,109.76481591941372
-81.0,-81.0,112.02882685848472
-81.0,-75.0,116.53204375900347
-81.0,-69.0,123.22512843424921
-81.0,-63.0,132.03475004790192
-81.0,-57.0,142.8643885420306
-81.0,-51.0,155.59539213104597
-81.0,-45.0,170.08827727549306
-81.0,-39.0,186.1842568928981
-81.0,-33.0,203.7069800622725
-81.0,-27.0,222.46446416170704
-81.0,-21.0,242.25119827015243
-81.0,-15.0,262.8503947880762
-81.0,-9.0,284.03636460776903
-81.0,-3.0,305.57698981043717
-81.0,3.0,327.2362667986945
-81.0,9.0,348.77689200136257
-81.0,15.0,369.9628618210554
-81.0,21.0,390.56205833897917
-81.0,27.0,410.3487924474246
-81.0,33.0,429.1062765468591
-81.0,39.0,446.6289997162335
-81.0,45.0,462.72497933363854
-81.0,51.0,477.21786447808563
-81.0,57.0,489.94886806710105
-81.0,63.0,500.7785065612297
-81.0,69.0,509.58812817488234
-81.0,75.0,516.2812128501281
-81.0,81.0,520.7844297506468
-81.0,87.0,523.0484406897178
-81.0,93.0,523.0484406897178
-81.0,99.0,520.7844297506468
-81.0,105.0,516.2812128501281
-81.0,111.0,509.58812817488234
-81.0,117.0,500.7785065612297
-81.0,123.0,489.94886806710105
-81.0,129.0,477.21786447808563
-81.0,135.0,462.72497933363854
-81.0,141.0,446.6289997162335
-81.0,147.0,429.1062765468591
-81.0,153.0,410.3487924474246
-81.0,159.0,390.56205833897917
-81.0,165.0,369.9628618210554
-81.0,171.0,348.77689200136257
-81.0,177.0,327.2362667986945
-75.0,-177.0,291.51747827011104
-75.0,-171.0,255.87875860285584
-75.0,-165.0,220.82681223736958
-75.0,-159.0,186.74567563312368
-75.0,-153.0,154.00874885469122
-75.0,-147.0,122.97470452249866
-75.0,-141.0,93.98355812054058
-75.0,-135.0,67.35294271558479
-75.0,-129.0,43.37462890282223
-75.0,-123.0,22.31132810617018
-75.0,-117.0,4.393814256935959
-75.0,-111.0,0.0
-75.0,-105.0,0.0
-75.0,-99.0,0.0
-75.0,-93.0,0.0
-75.0,-87.0,0.0
-75.0,-81.0,0.0
